(DECREASE_ANGLE LINK2 ANGLE80 ANGLE40)
(DECREASE_ANGLE LINK1 ANGLE280 ANGLE240)
(DECREASE_ANGLE LINK2 ANGLE40 ANGLE0)
(DECREASE_ANGLE LINK3 ANGLE240 ANGLE200)
(DECREASE_ANGLE LINK3 ANGLE200 ANGLE160)
(DECREASE_ANGLE LINK1 ANGLE240 ANGLE200)
(DECREASE_ANGLE LINK4 ANGLE280 ANGLE240)
(DECREASE_ANGLE LINK1 ANGLE200 ANGLE160)
(DECREASE_ANGLE LINK2 ANGLE240 ANGLE200)
