(DECREASE_ANGLE LINK4 ANGLE135 ANGLE90)
(DECREASE_ANGLE LINK1 ANGLE90 ANGLE45)
(DECREASE_ANGLE LINK1 ANGLE45 ANGLE0)
(INCREASE_ANGLE LINK4 ANGLE0 ANGLE315)
(DECREASE_ANGLE LINK4 ANGLE315 ANGLE270)
(INCREASE_ANGLE LINK2 ANGLE225 ANGLE270)
(DECREASE_ANGLE LINK3 ANGLE225 ANGLE180)
(INCREASE_ANGLE LINK1 ANGLE0 ANGLE315)
(DECREASE_ANGLE LINK1 ANGLE315 ANGLE270)
(DECREASE_ANGLE LINK3 ANGLE90 ANGLE45)
(DECREASE_ANGLE LINK3 ANGLE45 ANGLE0)
(INCREASE_ANGLE LINK3 ANGLE0 ANGLE315)
