[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_12_4_n8 /home/emarolab/ASP/CAPF/ASP/clingo/data/12_4/12_4_n8.asp 12_4"
[pyrunlim] start:		Tue Jun 12 07:38:01 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.015	     0.000	     0.000	       7.5	       7.5	       0.0
[pyrunlim] sample:		    20.299	     3.440	     0.000	      20.9	      20.9	       0.0
[pyrunlim] sample:		    30.923	    14.060	     0.000	      25.5	      25.5	       0.0
[pyrunlim] sample:		    40.035	    20.430	     0.000	      26.0	      22.2	       0.0
[pyrunlim] sample:		    50.149	    30.540	     0.000	      27.9	      27.9	       0.0
[pyrunlim] sample:		    60.263	    40.650	     0.000	      29.2	      29.2	       0.0
[pyrunlim] sample:		    70.377	    50.770	     0.000	      32.3	      32.3	       0.0
[pyrunlim] sample:		    80.492	    60.890	     0.000	      32.3	      32.3	       0.0
[pyrunlim] sample:		    90.608	    71.000	     0.000	      32.5	      32.5	       0.0
[pyrunlim] sample:		   100.723	    81.110	     0.000	      34.3	      34.3	       0.0
[pyrunlim] sample:		   110.838	    91.230	     0.000	      35.6	      35.6	       0.0
[pyrunlim] sample:		   120.954	   101.350	     0.000	      37.2	      37.2	       0.0
[pyrunlim] sample:		   130.058	   110.450	     0.000	      37.2	      37.2	       0.0
[pyrunlim] sample:		   140.174	   120.560	     0.000	      38.7	      38.7	       0.0
[pyrunlim] sample:		   150.288	   130.680	     0.000	      38.7	      38.7	       0.0
[pyrunlim] sample:		   160.402	   140.790	     0.000	      39.2	      39.2	       0.0
[pyrunlim] sample:		   170.516	   150.910	     0.000	      39.7	      39.7	       0.0
[pyrunlim] sample:		   180.630	   161.020	     0.000	      39.7	      39.7	       0.0
[pyrunlim] sample:		   190.744	   171.140	     0.000	      39.7	      39.7	       0.0
[pyrunlim] sample:		   200.868	   178.740	     0.000	      39.7	      25.0	       0.0
[pyrunlim] sample:		   210.980	   188.860	     0.000	      39.7	      29.9	       0.0
[pyrunlim] sample:		   220.080	   197.960	     0.000	      39.7	      32.5	       0.0
[pyrunlim] sample:		   230.192	   208.070	     0.000	      39.7	      33.8	       0.0
[pyrunlim] sample:		   240.305	   218.180	     0.000	      39.7	      35.8	       0.0
[pyrunlim] sample:		   250.418	   228.290	     0.000	      39.7	      36.1	       0.0
[pyrunlim] sample:		   260.531	   238.400	     0.000	      43.6	      43.6	       0.0
[pyrunlim] sample:		   270.644	   248.520	     0.000	      43.6	      43.6	       0.0
[pyrunlim] sample:		   280.758	   258.630	     0.000	      43.8	      43.8	       0.0
[pyrunlim] sample:		   290.872	   268.740	     0.000	      43.8	      43.8	       0.0
[pyrunlim] sample:		   300.987	   278.860	     0.000	      48.5	      48.5	       0.0
[pyrunlim] sample:		   310.091	   287.960	     0.000	      48.5	      48.5	       0.0
[pyrunlim] sample:		   320.205	   298.070	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   330.320	   308.190	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   340.436	   318.300	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   350.551	   328.410	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   360.666	   338.530	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   370.782	   348.650	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   380.897	   358.760	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   390.001	   367.870	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   400.116	   377.980	     0.000	      53.9	      53.9	       0.0
[pyrunlim] sample:		   410.232	   388.100	     0.000	      57.8	      57.8	       0.0
[pyrunlim] sample:		   420.348	   398.210	     0.000	      57.8	      57.8	       0.0
[pyrunlim] sample:		   430.464	   408.330	     0.000	      57.8	      57.8	       0.0
[pyrunlim] sample:		   440.580	   418.440	     0.000	      58.0	      58.0	       0.0
[pyrunlim] sample:		   450.696	   428.560	     0.000	      58.0	      58.0	       0.0
[pyrunlim] sample:		   460.812	   438.680	     0.000	      58.0	      58.0	       0.0
[pyrunlim] sample:		   470.927	   448.790	     0.000	      58.0	      58.0	       0.0
[pyrunlim] sample:		   480.032	   457.890	     0.010	      60.3	      60.3	       0.0
[pyrunlim] sample:		   490.148	   468.000	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   500.264	   478.120	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   510.380	   488.240	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   520.496	   498.350	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   530.612	   508.470	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   540.728	   518.580	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   550.844	   528.700	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   560.960	   538.810	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   570.065	   547.920	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   580.181	   558.030	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   590.297	   568.150	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   600.414	   578.270	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   610.530	   588.380	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   620.646	   598.500	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   630.761	   608.610	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   640.878	   618.730	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   650.995	   628.850	     0.010	      60.3	      59.8	       0.0
[pyrunlim] sample:		   660.099	   637.950	     0.010	      60.3	      59.8	       0.0
