[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n2 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n2.asp 7_12"
[pyrunlim] start:		Sun Jun 10 06:01:41 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.504	     0.040	     0.000	      19.2	      19.2	       0.0
[pyrunlim] sample:		    20.289	     1.440	     0.000	      51.2	       9.3	       0.0
[pyrunlim] sample:		    30.927	     9.260	     0.020	      62.6	      62.6	       0.0
[pyrunlim] sample:		    40.046	    16.160	     0.020	      68.9	      68.9	       0.0
[pyrunlim] sample:		    50.167	    25.270	     0.020	      68.9	       9.3	       0.0
[pyrunlim] sample:		    60.289	    33.940	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		    70.406	    44.060	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		    80.522	    54.180	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		    90.639	    64.290	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		   100.756	    74.410	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		   110.874	    84.530	     0.030	      74.7	      74.7	       0.0
[pyrunlim] sample:		   120.992	    94.650	     0.030	      75.0	      75.0	       0.0
[pyrunlim] sample:		   130.098	   103.750	     0.030	      75.3	      75.3	       0.0
[pyrunlim] sample:		   140.226	   111.680	     0.050	      83.9	      83.9	       0.0
[pyrunlim] sample:		   150.343	   121.800	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   160.461	   131.920	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   170.579	   142.040	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   180.697	   152.150	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   190.816	   162.270	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   200.934	   172.390	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   210.040	   181.500	     0.050	      83.9	      80.4	       0.0
[pyrunlim] sample:		   220.159	   191.620	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   230.278	   201.730	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   240.396	   211.850	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   250.514	   221.970	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   260.632	   232.090	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   270.751	   242.210	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   280.869	   252.320	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   290.988	   262.440	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   300.094	   271.550	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   310.212	   281.670	     0.050	      83.9	      80.7	       0.0
[pyrunlim] sample:		   320.331	   291.790	     0.050	      83.9	      81.0	       0.0
[pyrunlim] sample:		   330.450	   301.900	     0.050	      83.9	      81.2	       0.0
[pyrunlim] sample:		   340.569	   312.020	     0.050	      83.9	      81.2	       0.0
[pyrunlim] sample:		   350.687	   322.140	     0.050	      83.9	      81.2	       0.0
[pyrunlim] sample:		   360.806	   332.260	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   370.926	   342.380	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   380.031	   351.480	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   390.146	   361.600	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   400.260	   371.710	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   410.374	   381.830	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   420.490	   391.940	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   430.604	   402.060	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   440.719	   412.170	     0.050	      83.9	      81.5	       0.0
[pyrunlim] sample:		   450.838	   419.860	     0.060	      83.9	      71.0	       0.0
[pyrunlim] sample:		   460.953	   429.970	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   470.057	   439.070	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   480.173	   449.190	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   490.288	   459.300	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   500.403	   469.420	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   510.518	   479.530	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   520.633	   489.650	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   530.749	   499.760	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   540.864	   509.880	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   550.980	   519.990	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   560.084	   529.100	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   570.200	   539.210	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   580.316	   549.330	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   590.431	   559.440	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   600.546	   569.560	     0.060	      86.7	      86.7	       0.0
[pyrunlim] sample:		   610.661	   579.670	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   620.777	   589.790	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   630.892	   599.900	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   641.008	   610.020	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   650.113	   619.120	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   660.229	   629.240	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   670.344	   639.360	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   680.460	   649.470	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   690.575	   659.590	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   700.691	   669.700	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   710.807	   679.820	     0.060	      87.2	      87.2	       0.0
[pyrunlim] sample:		   720.922	   689.930	     0.060	      87.2	      87.2	       0.0
