[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_12_n4 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_12/7_12_n4.asp 7_12"
[pyrunlim] start:		Sun Jun 10 04:00:20 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.438	     0.100	     0.010	      24.7	       7.7	       0.0
[pyrunlim] sample:		    20.206	     0.500	     0.030	      38.7	      18.6	       0.0
[pyrunlim] sample:		    30.852	     6.090	     0.050	      67.3	      67.3	       0.0
[pyrunlim] sample:		    40.981	    13.960	     0.050	      76.6	      72.9	       0.0
[pyrunlim] sample:		    50.092	    20.810	     0.070	      85.0	      78.7	       0.0
[pyrunlim] sample:		    60.208	    30.920	     0.070	      85.0	      78.7	       0.0
[pyrunlim] sample:		    70.323	    41.040	     0.070	      85.0	      78.7	       0.0
[pyrunlim] sample:		    80.438	    51.150	     0.070	      85.0	      78.7	       0.0
[pyrunlim] sample:		    90.554	    61.270	     0.070	      85.0	      79.0	       0.0
[pyrunlim] sample:		   100.671	    71.380	     0.070	      85.0	      79.0	       0.0
[pyrunlim] sample:		   110.794	    78.560	     0.070	      85.0	      22.5	       0.0
[pyrunlim] sample:		   120.911	    88.670	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   130.017	    97.770	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   140.135	   107.890	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   150.251	   118.010	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   160.368	   128.120	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   170.485	   138.240	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   180.601	   148.360	     0.080	      85.1	      85.1	       0.0
[pyrunlim] sample:		   190.717	   158.470	     0.080	      85.1	      85.1	       0.0
