(DECREASE_ANGLE LINK5 ANGLE225 ANGLE180)
(DECREASE_ANGLE LINK2 ANGLE180 ANGLE135)
(DECREASE_ANGLE LINK5 ANGLE180 ANGLE135)
(DECREASE_ANGLE LINK1 ANGLE180 ANGLE135)
(INCREASE_ANGLE LINK3 ANGLE180 ANGLE225)
(DECREASE_ANGLE LINK4 ANGLE90 ANGLE45)
(INCREASE_ANGLE LINK3 ANGLE180 ANGLE225)
(DECREASE_ANGLE LINK5 ANGLE90 ANGLE45)
(DECREASE_ANGLE LINK5 ANGLE45 ANGLE0)
