(DECREASE_ANGLE LINK3 ANGLE270 ANGLE0)
(INCREASE_ANGLE LINK8 ANGLE90 ANGLE180)
(INCREASE_ANGLE LINK3 ANGLE0 ANGLE90)
(INCREASE_ANGLE LINK6 ANGLE90 ANGLE180)
(INCREASE_ANGLE LINK6 ANGLE180 ANGLE270)
(INCREASE_ANGLE LINK7 ANGLE0 ANGLE90)
(INCREASE_ANGLE LINK10 ANGLE180 ANGLE270)
(INCREASE_ANGLE LINK1 ANGLE180 ANGLE270)
(INCREASE_ANGLE LINK4 ANGLE0 ANGLE270)
