[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_7_9_n1 /home/emarolab/ASP/CAPF/ASP/clingo/data/7_9/7_9_n1.asp 7_9"
[pyrunlim] start:		Tue Jun 12 22:21:20 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.033	     0.020	     0.000	      14.3	       7.6	       0.0
[pyrunlim] sample:		    20.371	     1.200	     0.010	      34.0	      34.0	       0.0
[pyrunlim] sample:		    30.006	     7.990	     0.020	      37.3	      37.3	       0.0
[pyrunlim] sample:		    40.133	    18.120	     0.020	      37.3	      37.3	       0.0
[pyrunlim] sample:		    50.270	    26.050	     0.020	      40.0	      40.0	       0.0
[pyrunlim] sample:		    60.396	    36.170	     0.020	      40.0	      40.0	       0.0
[pyrunlim] sample:		    70.521	    46.290	     0.020	      40.6	      40.6	       0.0
[pyrunlim] sample:		    80.647	    56.420	     0.020	      44.7	      44.7	       0.0
[pyrunlim] sample:		    90.773	    66.550	     0.020	      45.5	      45.5	       0.0
[pyrunlim] sample:		   100.899	    76.670	     0.020	      45.5	      45.5	       0.0
[pyrunlim] sample:		   110.013	    85.790	     0.020	      48.8	      48.8	       0.0
[pyrunlim] sample:		   120.139	    95.910	     0.020	      52.4	      52.4	       0.0
[pyrunlim] sample:		   130.266	   106.040	     0.020	      52.4	      52.4	       0.0
[pyrunlim] sample:		   140.392	   116.170	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   150.519	   126.290	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   160.646	   136.420	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   170.772	   146.550	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   180.900	   156.670	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   190.014	   165.780	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   200.141	   175.910	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   210.268	   186.040	     0.020	      52.9	      52.9	       0.0
[pyrunlim] sample:		   220.403	   193.300	     0.020	      52.9	      43.1	       0.0
[pyrunlim] sample:		   230.528	   203.430	     0.020	      52.9	      43.4	       0.0
[pyrunlim] sample:		   240.654	   213.550	     0.020	      52.9	      46.0	       0.0
[pyrunlim] sample:		   250.781	   223.680	     0.020	      52.9	      47.8	       0.0
[pyrunlim] sample:		   260.908	   233.810	     0.020	      52.9	      49.1	       0.0
[pyrunlim] sample:		   270.022	   242.920	     0.020	      52.9	      49.1	       0.0
[pyrunlim] sample:		   280.149	   253.050	     0.020	      55.3	      55.3	       0.0
[pyrunlim] sample:		   290.276	   263.170	     0.020	      55.3	      55.3	       0.0
[pyrunlim] sample:		   300.404	   273.300	     0.020	      55.8	      55.8	       0.0
[pyrunlim] sample:		   310.532	   283.430	     0.020	      55.8	      55.8	       0.0
[pyrunlim] sample:		   320.660	   293.560	     0.020	      55.8	      55.8	       0.0
[pyrunlim] sample:		   330.788	   303.690	     0.020	      57.8	      57.8	       0.0
[pyrunlim] sample:		   340.915	   313.810	     0.020	      57.8	      57.8	       0.0
[pyrunlim] sample:		   350.030	   322.920	     0.020	      60.9	      60.9	       0.0
[pyrunlim] sample:		   360.158	   333.050	     0.020	      60.9	      60.9	       0.0
[pyrunlim] sample:		   370.286	   343.180	     0.020	      60.9	      60.9	       0.0
[pyrunlim] sample:		   380.413	   353.300	     0.030	      68.1	      62.3	       0.0
[pyrunlim] sample:		   390.541	   363.430	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   400.670	   373.560	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   410.798	   383.690	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   420.926	   393.820	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   430.041	   402.930	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   440.169	   413.060	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   450.298	   423.190	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   460.426	   433.320	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   470.555	   443.450	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   480.683	   453.580	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   490.812	   463.700	     0.030	      68.1	      64.9	       0.0
[pyrunlim] sample:		   500.940	   473.830	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   510.056	   482.940	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   520.185	   493.070	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   530.315	   503.200	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   540.444	   513.330	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   550.573	   523.460	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   560.702	   533.590	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   570.830	   543.710	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   580.958	   553.840	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   590.073	   562.960	     0.030	      72.1	      72.1	       0.0
[pyrunlim] sample:		   600.202	   573.080	     0.030	      80.1	      80.1	       0.0
[pyrunlim] sample:		   610.330	   583.210	     0.030	      80.1	      80.1	       0.0
[pyrunlim] sample:		   620.459	   593.340	     0.030	      80.1	      80.1	       0.0
[pyrunlim] sample:		   630.587	   603.470	     0.030	      80.1	      80.1	       0.0
[pyrunlim] sample:		   640.716	   613.600	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   650.845	   623.720	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   660.974	   633.850	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   670.089	   642.970	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   680.219	   653.100	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   690.348	   663.230	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   700.478	   673.360	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   710.607	   683.490	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   720.737	   693.620	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   730.867	   703.750	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   740.995	   713.880	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   750.110	   722.990	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   760.241	   733.120	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   770.370	   743.250	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   780.500	   753.380	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   790.629	   763.510	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   800.759	   773.640	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   810.889	   783.770	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   820.007	   792.890	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   830.136	   803.010	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   840.267	   813.150	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   850.397	   823.270	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   860.527	   833.410	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   870.657	   843.530	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   880.788	   853.670	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   890.918	   863.790	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   900.034	   872.910	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   910.163	   883.040	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   920.293	   893.170	     0.030	      88.1	      88.1	       0.0
[pyrunlim] sample:		   930.422	   903.300	     0.030	      88.1	      88.1	       0.0
