[pyrunlim] version:		2.16
[pyrunlim] time limit:		3600 seconds
[pyrunlim] memory limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] real time limit:	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
[pyrunlim] swap limit:		10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 MB
[pyrunlim] pyrunlim cpu affin.:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] cpu affinity:	[0, 1, 2, 3, 4, 5, 6, 7]
[pyrunlim] nice:		20
[pyrunlim] running:		bash -c "./wrapper_clingo.py solution_11_4_n9 /home/emarolab/ASP/CAPF/ASP/clingo/data/11_4/11_4_n9.asp 11_4"
[pyrunlim] start:		Mon Jun 11 22:58:47 2018
[pyrunlim] columns:		real (s)	user (s)	sys (s)  	max memory (MB)	rss (MB)   	swap (MB)
[pyrunlim] sample:		    10.011	     0.000	     0.000	       9.2	       9.2	       0.0
[pyrunlim] sample:		    20.288	     3.430	     0.000	      21.2	       9.2	       0.0
[pyrunlim] sample:		    30.911	    13.960	     0.000	      27.1	      27.1	       0.0
[pyrunlim] sample:		    40.017	    22.050	     0.000	      27.3	       9.2	       0.0
[pyrunlim] sample:		    50.135	    30.840	     0.010	      27.3	      26.2	       0.0
[pyrunlim] sample:		    60.247	    40.950	     0.010	      29.8	      29.8	       0.0
[pyrunlim] sample:		    70.360	    51.070	     0.010	      30.9	      30.9	       0.0
[pyrunlim] sample:		    80.473	    61.180	     0.010	      32.7	      32.7	       0.0
[pyrunlim] sample:		    90.588	    71.290	     0.010	      34.6	      34.6	       0.0
[pyrunlim] sample:		   100.702	    81.400	     0.010	      35.4	      35.4	       0.0
[pyrunlim] sample:		   110.816	    91.520	     0.010	      35.4	      35.4	       0.0
[pyrunlim] sample:		   120.931	   101.630	     0.010	      37.7	      37.7	       0.0
[pyrunlim] sample:		   130.034	   110.740	     0.010	      38.0	      38.0	       0.0
[pyrunlim] sample:		   140.149	   120.850	     0.010	      38.0	      38.0	       0.0
[pyrunlim] sample:		   150.265	   130.960	     0.010	      38.0	      38.0	       0.0
[pyrunlim] sample:		   160.379	   141.080	     0.010	      38.0	      38.0	       0.0
[pyrunlim] sample:		   170.499	   149.170	     0.010	      38.0	       9.2	       0.0
[pyrunlim] sample:		   180.611	   159.110	     0.010	      38.0	      28.9	       0.0
[pyrunlim] sample:		   190.723	   169.220	     0.010	      38.0	      35.8	       0.0
[pyrunlim] sample:		   200.835	   179.330	     0.010	      45.6	      45.6	       0.0
[pyrunlim] sample:		   210.949	   189.440	     0.010	      45.6	      45.6	       0.0
[pyrunlim] sample:		   220.052	   198.540	     0.010	      45.6	      45.6	       0.0
